Wave_Grp_ID,Wave_Grp_Index,Wave_Grp_Delay,Wave_Grp_Pattern,Wave_Grp_Mob_Delay_1,Wave_Grp_Spawn_1,Wave_Grp_Mob_ID_1,Wave_Grp_Mob_Lv_1,Wave_Grp_Mob_Value_1,Wave_Grp_Mob_Delay_2,Wave_Grp_Spawn_2,Wave_Grp_Mob_ID_2,Wave_Grp_Mob_Lv_2,Wave_Grp_Mob_Value_2,Wave_Grp_Mob_Delay_3,Wave_Grp_Spawn_3,Wave_Grp_Mob_ID_3,Wave_Grp_Mob_Lv_3,Wave_Grp_Mob_Value_3,Wave_Grp_Mob_Delay_4,Wave_Grp_Spawn_4,Wave_Grp_Mob_ID_4,Wave_Grp_Mob_Lv_4,Wave_Grp_Mob_Value_4,Wave_Grp_Mob_Delay_5,Wave_Grp_Spawn_5,Wave_Grp_Mob_ID_5,Wave_Grp_Mob_Lv_5,Wave_Grp_Mob_Value_5
1,1,3,0,6,2,20001,1,3,,,,,,,,,,,,,,,,,,,,
1,2,3,0,7,1,20002,1,3,,,,,,,,,,,,,,,,,,,,
1,3,3,0,4.5,3,20003,1,4,,,,,,,,,,,,,,,,,,,,
2,1,3,0,6,2,20001,1,4,,,,,,,,,,,,,,,,,,,,
2,2,3,0,7,1,20002,1,3,,,,,,,,,,,,,,,,,,,,
2,3,3,0,4.5,3,20003,1,4,,,,,,,,,,,,,,,,,,,,
2,4,10,0,6,4,20001,1,2,,,,,,,,,,,,,,,,,,,,
2,5,10,0,7,7,20002,1,2,,,,,,,,,,,,,,,,,,,,
3,1,3,0,6,2,20001,1,4,,,,,,,,,,,,,,,,,,,,
3,2,3,0,8,1,20001,1,3,,,,,,,,,,,,,,,,,,,,
3,3,3,0,5,3,20001,1,5,,,,,,,,,,,,,,,,,,,,
3,4,3,0,4,2,20002,1,5,,,,,,,,,,,,,,,,,,,,
4,1,3,0,5,2,20002,1,4,,,,,,,,,,,,,,,,,,,,
4,2,3,0,4,1,20001,1,4,,,,,,,,,,,,,,,,,,,,
4,3,3,0,6,3,20002,1,3,,,,,,,,,,,,,,,,,,,,
4,4,10,0,7,10,20003,2,3,,,,,,,,,,,,,,,,,,,,
4,5,10,0,9,11,20003,2,3,,,,,,,,,,,,,,,,,,,,
4,6,10,0,5,12,20003,2,3,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,2,30003,2,1,,,,,,,,,,,,,,,,,,,,
6,1,3,0,5,2,20001,2,3,,,,,,,,,,,,,,,,,,,,
6,2,3,0,4,1,20002,2,3,,,,,,,,,,,,,,,,,,,,
6,3,3,0,6,3,20001,2,4,,,,,,,,,,,,,,,,,,,,
6,4,3,0,5,7,20001,2,3,,,,,,,,,,,,,,,,,,,,
6,5,3,0,4,8,20002,2,3,,,,,,,,,,,,,,,,,,,,
6,6,3,0,6,4,20001,2,3,,,,,,,,,,,,,,,,,,,,
6,7,3,0,6,5,20002,2,3,,,,,,,,,,,,,,,,,,,,
7,1,3,0,5,2,20001,2,3,,,,,,,,,,,,,,,,,,,,
7,2,3,0,4,1,20002,2,4,,,,,,,,,,,,,,,,,,,,
7,3,3,0,6,3,20001,2,3,,,,,,,,,,,,,,,,,,,,
7,4,3,0,5,7,20001,2,4,,,,,,,,,,,,,,,,,,,,
7,5,3,0,4,8,20002,2,4,,,,,,,,,,,,,,,,,,,,
7,6,3,0,6,4,20001,3,3,,,,,,,,,,,,,,,,,,,,
7,7,3,0,6,5,20002,3,3,,,,,,,,,,,,,,,,,,,,
8,1,1,0,4,2,20001,3,4,,,,,,,,,,,,,,,,,,,,
8,2,1,0,3.8,1,20002,3,4,,,,,,,,,,,,,,,,,,,,
8,3,1,0,4.2,3,20001,3,4,,,,,,,,,,,,,,,,,,,,
8,4,15,0,5,7,20003,3,3,,,,,,,,,,,,,,,,,,,,
8,5,15,0,4.8,8,20002,3,3,,,,,,,,,,,,,,,,,,,,
8,6,15,0,5.1,10,20003,3,3,,,,,,,,,,,,,,,,,,,,
